Автор,Название книги,Тип,Год озвучки,Хроно,Сборник,не трогать!!! Только для редактора,Ссылка на работу в Вконтакте
РЯДИНСКИЙ ВЛАДИСЛАВ,Победа ценой поражения,рассказ,2017,0:24:47,,47458090,Ссылка на работу в вКонтакте
СИММОНС ДЭН,Побриться и постричься - всего за два укуса,рассказ,2015,0:39:41,Созвездие Льва,50095810,Ссылка на работу в вКонтакте
КУПРИЯНОВА МАРИЯ,Повелитель Судьбы,рассказ,2008,0:17:07,Тёмные аллеи №03,47402740,Ссылка на работу в вКонтакте
ЧЕРКАШИНА ИРИНА,Под лестницей,рассказ,2010,0:17:51,Тёмные аллеи №15,47402963,Ссылка на работу в вКонтакте
УИЛЬЯМСОН ДЖЕК,Подарок,рассказ,2019,0:18:02,ГЛУБИНА погружение 17,54750696,Ссылка на работу в вКонтакте
ВЛАСЕНКО ЛЕВ,Подарок бури,рассказ,2010,0:32:40,Тёмные аллеи №15,47402963,Ссылка на работу в вКонтакте
МАЛИНОВСКАЯ ЕЛЕНА,Подарок для принцессы,рассказ,2008,0:15:35,Тёмные аллеи №03,47402740,Ссылка на работу в вКонтакте
СЕМЁНОВА ОЛЬГА,Подруги,рассказ,2009,0:03:23,Сказки для больших и маленьких,47392034,Ссылка на работу в вКонтакте
БЛОХ РОБЕРТ,Поезд в ад,рассказ,2019,0:37:19,Созвездие Льва 4,54717929,Ссылка на работу в вКонтакте
ЛУКЬЯНЕНКО СЕРГЕЙ,Поезд в тёплый край,рассказ,2016,0:30:22,Созвездие Льва 2. Всадники апокалипсиса,51326204,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Поле боя,рассказ,2013,0:23:53,Ночная смена,47401704,Ссылка на работу в вКонтакте
ЛОУКРАФТ Г.Ф.,Ползущий из Слизи,рассказ,,0:00:00,Тёмные аллеи 2.3 Аколиты и Ктулху,49828877,Ссылка на работу в вКонтакте
БАРКЕР КЛАЙВ,Полночный поезд с мясом,рассказ,2011,1:27:19,Тёмные аллеи №17,47403015,Ссылка на работу в вКонтакте
СМИТ МАРШАЛЛ МАЙКЛ,Получать лучше,рассказ,2018,0:21:01,Манускрипты Аркхэма,47405165,Ссылка на работу в вКонтакте
САФРОНОВ ЕВГЕНИЙ,"Помаево – село, которого нет",рассказ,2018,1:34:12,Евгений Сафронов - Рассказы,50296060,Ссылка на работу в вКонтакте
ПЕТРОВИЧЕВА ЛАРИСА,Портрет не-героя,рассказ,2013,0:58:58,,47391952,Ссылка на работу в вКонтакте
ЛАМЛИ БРАЙАН,Порча,рассказ,,0:00:00,Тёмные аллеи 2.3 Аколиты и Ктулху,49828877,Ссылка на работу в вКонтакте
ДОЛГОВА ЕЛЕНА,После Армагеддона,рассказ,2009,0:37:19,Тёмные аллеи №10,47402860,Ссылка на работу в вКонтакте
ДИБРОВА ПАВЕЛ,После дождя,рассказ,2017,0:02:40,Сборник рассказов Лец-тас-ки,47401448,Ссылка на работу в вКонтакте
ВАН ПЕЛТ ДЖЕЙМС,Последние О-Формы,рассказ,2016,0:43:50,Созвездие Льва 2. Всадники апокалипсиса,51326204,Ссылка на работу в вКонтакте
ДИБРОВА ПАВЕЛ,Последний вагон,рассказ,2017,0:07:03,Сборник рассказов Лец-тас-ки,47401448,Ссылка на работу в вКонтакте
АЗИМОВ АЙЗЕК,Последний вопрос,рассказ,2015,0:36:26,Созвездие Льва,50095810,Ссылка на работу в вКонтакте
МАТЕСОН РИЧАРД,Последний день,рассказ,2016,0:44:00,Созвездие Льва 2. Всадники апокалипсиса,51326204,Ссылка на работу в вКонтакте
КАЛИНИНА КИРА,Последний мужчина,рассказ,2009,0:23:22,Тёмные аллеи №11,47402888,Ссылка на работу в вКонтакте
КУЗЕН ФИЛИПП,Последний сеанс,рассказ,2008,0:36:16,,47403580,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Последняя перекладина,рассказ,2008,0:39:37,Ночная смена,47401704,Ссылка на работу в вКонтакте
САКИ,Посторонние,рассказ,2017,0:16:52,Тёмные аллеи 2.4 Удиви меня!,50155796,Ссылка на работу в вКонтакте
МАТЕСОН РИЧАРД,Посылка (Нажмите кнопку),рассказ,2011,0:17:14,Тёмные аллеи №17,47403015,Ссылка на работу в вКонтакте
ЛАВКРАФТ ГОВАРД Ф.,Потомок,рассказ,2017,0:11:57,Тёмные аллеи 2.2 Ктулху и аколиты,51789137,Ссылка на работу в вКонтакте
ЗОРИН АНДРЕЙ,Поцелуй медузы,рассказ,2017,0:34:57,,47403572,Ссылка на работу в вКонтакте
КОРОБКИНА ЖАННА,Почему гремит гром,рассказ,2009,0:05:35,Сказки для больших и маленьких,47392034,Ссылка на работу в вКонтакте
ГАЛЬЦОВ МИХАИЛ,Почечуй,рассказ,2018,0:11:02,Памяти замечательных людей,49928114,Ссылка на работу в вКонтакте
ПРАТЧЕТТ ТЕРРИ,Правда,роман,2010,15:31:51,,47397334,Ссылка на работу в вКонтакте
МАКНИЛЛ ГРЭМ,Правила боя,рассказ,2019,1:45:26,WARHAMMER 40000,54712986,Ссылка на работу в вКонтакте
ФЕДОТОВ АЛЕКСЕЙ,Правила войны,рассказ,2009,0:20:32,Алексей Федотов - Рассказы,47403549,Ссылка на работу в вКонтакте
СЕДЛОВА ВАЛЕНТИНА,Правила игры,рассказ,2010,0:22:56,Тёмные аллеи №15,47402963,Ссылка на работу в вКонтакте
ЧЕКАЛОВ ДЕНИС,Право решать,рассказ,2009,0:18:18,Тёмные аллеи №10,47402860,Ссылка на работу в вКонтакте
ЭТЧИСОН ДЕННИС,Предел,рассказ,2015,0:28:50,Тёмные аллеи 2.1 Жестокость,50297043,Ссылка на работу в вКонтакте
ГРИГГ ДЭВИД,Предзакатная песнь,рассказ,2016,0:34:32,Созвездие Льва 2. Всадники апокалипсиса,51326204,Ссылка на работу в вКонтакте
ПАРФЕНОВА МАРИЯ,Предчувствие,рассказ,2008,0:19:18,Тёмные аллеи №03,47402740,Ссылка на работу в вКонтакте
ХИДЭЮКИ КИКУТИ,Пресмыкающееся,рассказ,2015,1:13:34,Тёмные аллеи 2.1 Жестокость,50297043,Ссылка на работу в вКонтакте
ДЕСНЕР ХЭЛ,"Преступление, достойное меня",рассказ,2017,0:48:18,Тёмные аллеи 2.4 Удиви меня!,50155796,Ссылка на работу в вКонтакте
ЛИВНЕВА НАТАЛЬЯ,Призвание,рассказ,2009,0:02:26,Сказки для больших и маленьких,47392034,Ссылка на работу в вКонтакте
ХЬЮМАН ДЭМИ,"Призрак, который боялся темноты ",рассказ,2017,0:15:23,Тёмные аллеи №23. Russian edition,49839574,Ссылка на работу в вКонтакте
"РЭЙН ОЛЬГА, ГЕЛПРИН МАЙК",Приманка,рассказ,2017,1:07:49,Тёмные аллеи №23. Russian edition,49839574,Ссылка на работу в вКонтакте
ЛАВКРАФТ ГОВАРД Ф.,Притаившийся ужас,рассказ,2016,1:00:54,Тёмные аллеи 2.2 Ктулху и аколиты,51789137,Ссылка на работу в вКонтакте
АЗИМОВ АЙЗЕК,Приход ночи,рассказ,2017,1:27:18,Созвездие Льва 3. Приход ночи (часть 1),47401419,Ссылка на работу в вКонтакте
МАЦУУРА ХИСАКИ,Причуды жизни,рассказ,2013,0:20:31,Причуды жизни,47392029,Ссылка на работу в вКонтакте
ЭШТОН СМИТ КЛАРК,Пришествие белого червя,рассказ,2016,0:40:36,Пять вечеров 1: В снегах,50793544,Ссылка на работу в вКонтакте
СУДЬБИНИНА АНАСТАСИЯ,Про доброзлого волшебника Васю,рассказ,2009,0:05:00,Сказки для больших и маленьких,47392034,Ссылка на работу в вКонтакте
ВАН ВОГТ АЛЬФРЕД,Пробуждение,рассказ,2019,0:47:44,Созвездие Льва 4,54717929,Ссылка на работу в вКонтакте
МАНСУРОВ ДМИТРИЙ,Программа катастроф на завтра,рассказ,2009,0:27:11,Тёмные аллеи №10,47402860,Ссылка на работу в вКонтакте
НИЛЬСЕН НИЛЬС,Продается планета,рассказ,2010,0:32:34,Тёмные аллеи №14,47402953,Ссылка на работу в вКонтакте
ЯНСИ РИК,Проклятье Вендиго (Ученик монстролога 2),роман,2018,11:11:42,,47391500,Ссылка на работу в вКонтакте
РОМАШИХИН АЛЕКСАНДР,Пролог,рассказ,2010,0:14:29,Южная пристань,47391962,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Противостояние,роман,2016,52:36:56,,50517869,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Протока,рассказ,2015,0:57:22,Команда скелетов,49866622,Ссылка на работу в вКонтакте
КАРЯКИН ПЁТР,Прощание славянки,повесть,2015,4:52:41,Пётр Карякин - В окопе нас было двое,49714258,Ссылка на работу в вКонтакте
КАБИР МАКСИМ,Прячься,рассказ,2019,1:20:46,ГЛУБИНА погружение 16,54737042,Ссылка на работу в вКонтакте
ЛОНГ БЕЛНАП ФРЭНК,Псы Тиндала,рассказ,2019,0:45:07,Тёмные аллеи 2.3 Аколиты и Ктулху,49828877,Ссылка на работу в вКонтакте
ДЮ МОРЬЕ ДАФНА,Птицы,рассказ,2011,1:48:22,Тёмные аллеи №17,47403015,Ссылка на работу в вКонтакте
БЕЛОГЛАЗОВ АРТЁМ,Пулемёт Максим,рассказ,2012,0:28:34,Тёмные аллеи №20,47403059,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Пустите детей (Детки в клетке),рассказ,2009,0:36:21,Тёмные аллеи №08,47402825,Ссылка на работу в вКонтакте
ЗОТОВ ИВАН,Путь домой,рассказ,2010,0:41:18,Южная пристань,47391962,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Пятая четверть,рассказ,2013,0:43:11,Кинг Стивен - Сборник рассказов,47401746,Ссылка на работу в вКонтакте
ДИБРОВА ПАВЕЛ,Работа,рассказ,2017,0:10:42,Сборник рассказов Лец-тас-ки,47401448,Ссылка на работу в вКонтакте
ХИДЭЮКИ КИКУТИ,Разговор о Москэ,рассказ,2017,0:12:46,Тёмные аллеи 2.4 Удиви меня!,50155796,Ссылка на работу в вКонтакте
АЛЁХИН АРТУР,Разрешите мне больше не убивать,рассказ,2019,0:31:13,,53016370,Ссылка на работу в вКонтакте
МАВЕРИК,Разрисованные крыши,рассказ,2009,0:05:49,Сказки для больших и маленьких,47392034,Ссылка на работу в вКонтакте
РОМАШИХИН АЛЕКСАНДР,Ракушка,рассказ,2010,0:24:58,Южная пристань,47391962,Ссылка на работу в вКонтакте
КОВАЛЬ НИКИТА,Рассказ чтеца,рассказ,2016,1:12:11,Тёмные аллеи №23. Russian edition,49839574,Ссылка на работу в вКонтакте
ДАНИЛЬЧЕНКО ДМИТРИЙ,РЕ4ИТАТИВЪ,стихи,2018,1:02:19,,49963277,Ссылка на работу в вКонтакте
ЛИ ЭДВАРД,Реанимация,рассказ,2015,0:40:13,Тёмные аллеи 2.1 Жестокость,50297043,Ссылка на работу в вКонтакте
СИБРАЙТ АЙДРИС,"Ребёнок, который слышал",рассказ,2018,0:25:17,ГЛУБИНА погружение 04,50021879,Ссылка на работу в вКонтакте
БОЕВКИН ВАЛЕРИЙ,Револьвер,рассказ,2010,0:22:51,Тёмные аллеи №15,47402963,Ссылка на работу в вКонтакте
ВЕЛКОРД АРТЁМ,Реконструкция,рассказ,2009,1:09:02,Велкорд Артём - Рассказы,47403558,Ссылка на работу в вКонтакте
КУЗЬМИНОВ ИЛЬЯ,Рекурсия,рассказ,2009,0:16:06,Тёмные аллеи №06,47402771,Ссылка на работу в вКонтакте
БРЮСОВ ВАЛЕРИЙ,Республика Южного Креста,рассказ,2016,0:52:38,Пять вечеров 1: В снегах,50793544,Ссылка на работу в вКонтакте
ИРВИНГ ВАШИНГТОН,Рип Ван Винкль,рассказ,2019,0:48:25,Созвездие Льва 4,54717929,Ссылка на работу в вКонтакте
РОМАШИХИН АЛЕКСАНДР,Робинзон,рассказ,2008,0:12:59,Тёмные аллеи №06,47402771,Ссылка на работу в вКонтакте
АЙРИШ УИЛЬЯМ,Ровно в 3 часа,рассказ,2017,1:27:16,Адамово яблоко,47401517,Ссылка на работу в вКонтакте
ШАМАНОВ СЕРГЕЙ,Рождественская ёлка,рассказ,2017,0:23:31,,47904090,Ссылка на работу в вКонтакте
ЧЁРНЫЙ САША,Рождественский ангел,рассказ,2017,0:10:14,,47397743,Ссылка на работу в вКонтакте
ЧЕТВИНД-ХЕЙС РОНАЛЬД,Рождество,рассказ,2016,0:27:55,,47397726,Ссылка на работу в вКонтакте
БЕРРОУЗ УИЛЬЯМ,Рождество наркомана,рассказ,2012,0:07:50,Зимняя сказка,47391905,Ссылка на работу в вКонтакте
ПИРС ЭРЛ младший,Рок дома Дарейя,рассказ,2018,0:47:33,Манускрипты Аркхэма,47405165,Ссылка на работу в вКонтакте
ДАРЛЕТ АВГУСТ,Рука славы,рассказ,2018,0:29:36,,47622358,Ссылка на работу в вКонтакте
ДЕРЛЕТ АВГУСТ,Рука славы,рассказ,2018,0:29:36,Манускрипты Аркхэма,47405165,Ссылка на работу в вКонтакте
МОПАССАН ГИ де,Рука трупа,рассказ,2018,0:14:11,Манускрипты Аркхэма,47405165,Ссылка на работу в вКонтакте
ПО ЭДГАР АЛАН,"Рукопись, найденная в бутылке",рассказ,2015,0:32:36,Тёмные аллеи 2.0 Тёмные звёзды,49780142,Ссылка на работу в вКонтакте
ХАРРИС ДЖОАНН,Рыба,рассказ,2015,0:24:49,,47397174,Ссылка на работу в вКонтакте
МАРКУС ОЛЕГ,Рыба гниёт откуда захочет,рассказ,2018,0:26:26,,47622358,Ссылка на работу в вКонтакте
БУЛДАКОВ ОЛЕГ,Рыцарская,рассказ,2015,0:05:48,ОЛЕГ БУЛДАКОВ - Трамвайный лев,50316084,Ссылка на работу в вКонтакте
КОВАЛЬ НИКИТА,Сага о Ронине,рассказ,2017,0:17:36,Никита Коваль - Рассказы,47401436,Ссылка на работу в вКонтакте
ЯСУСИ ИНОУЭ,Сад камней,рассказ,2015,0:27:21,Сад опавших листьев,49982920,Ссылка на работу в вКонтакте
СИНЪИТИ ЮКИ,Сад опавших листьев,рассказ,2015,0:39:02,Сад опавших листьев,49982920,Ссылка на работу в вКонтакте
ХЬЮМАН ДЭМИ,Сад планетарного типа GR-07,рассказ,2017,1:50:27,Дэми Хьюман - Рассказы,47401441,Ссылка на работу в вКонтакте
БУКОВСКИ ЧАРЛЬЗ,Самая красивая женщина в городе,рассказ,2017,0:17:21,Адамово яблоко,47401517,Ссылка на работу в вКонтакте
ПАРФЁНОВА МАРИЯ,Самая лучшая сумка,рассказ,2009,0:02:59,Сказки для больших и маленьких,47392034,Ссылка на работу в вКонтакте
САФРОНОВ ЕВГЕНИЙ,Самозванцы,рассказ,2017,0:54:34,Евгений Сафронов - Рассказы,50296060,Ссылка на работу в вКонтакте
КЛЕЙН ЖЕРАР,Самые уважаемые профессии Земли...,рассказ,2019,0:36:28,Созвездие Льва 4,54717929,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Свадебный джаз,рассказ,2015,0:37:30,Команда скелетов,49866622,Ссылка на работу в вКонтакте
МУРАКАМИ ХАРУКИ,Светлячок,рассказ,2013,0:51:05,Причуды жизни,47392029,Ссылка на работу в вКонтакте
СЕМИРОЛЬ АННА,Седые травы,рассказ,2012,1:57:48,,47391752,Ссылка на работу в вКонтакте
БРЕННАН ДЖОЗЕФ ПЕЙН,Седьмое заклинание,рассказ,2018,0:19:21,Манускрипты Аркхэма,47405165,Ссылка на работу в вКонтакте
МУРАКАМИ ХАРУКИ,Седьмой,рассказ,2018,0:38:59,Смерть в середине лета,50034017,Ссылка на работу в вКонтакте
КОЛЮЖНЯК ВИКТОР,Сезон дождей,рассказ,2012,0:34:28,Тёмные аллеи №20,47403059,Ссылка на работу в вКонтакте
ГАЛЬЦОВ МИХАИЛ,Сейд,роман,2018,7:14:32,,47401474,Ссылка на работу в вКонтакте
ИГАН ГРЕГ,Сейф,рассказ,2017,0:49:18,Созвездие Льва 3. Приход ночи (часть 1),47401419,Ссылка на работу в вКонтакте
ИВАНОВ ПЁТР,Семь километров пути,рассказ,2009,0:15:18,Тёмные аллеи №09,47402841,Ссылка на работу в вКонтакте
МАСТЕРТОН ГРЭМ,Сепсис,рассказ,2015,0:44:30,Тёмные аллеи 2.1 Жестокость,50297043,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Серая дрянь,рассказ,2009,0:37:43,Ночная смена,47401704,Ссылка на работу в вКонтакте
МАВЕРИК ДЖОН,Серое небо Йоника,рассказ,2012,0:54:22,Тёмные аллеи №20,47403059,Ссылка на работу в вКонтакте
ДОЛГОВА ЕЛЕНА,Серый ангел ночи,рассказ,2010,0:19:18,Тёмные аллеи №12,47402904,Ссылка на работу в вКонтакте
ДИЯНЧУК НИКОЛАЙ,Сильнее вечности,рассказ,2011,0:20:56,Тёмные аллеи №16,47402994,Ссылка на работу в вКонтакте
ОДОЕВСКИЙ ВЛАДИМИР,Сильфида,рассказ,2018,1:03:49,Пять вечеров 4: Одержимость,50095809,Ссылка на работу в вКонтакте
СЕМЫКИН АЛЕКСАНДР,Синдром Икара,рассказ,2011,0:23:15,Тёмные аллеи №18,47403039,Ссылка на работу в вКонтакте
КОВАЛЬ НИКИТА,Синдром Феникса,рассказ,2017,1:02:03,Никита Коваль - Рассказы,47401436,Ссылка на работу в вКонтакте
МАЛИНОВСКАЯ ЕЛЕНА,Синеглазый василиск,рассказ,2009,0:31:37,Тёмные аллеи №10,47402860,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Сияние,роман,2013,18:58:10,,47397190,Ссылка на работу в вКонтакте
ЛАВКРАФТ ГОВАРД Ф.,Сияние извне,рассказ,2015,1:13:35,Тёмные аллеи 2.2 Ктулху и аколиты,51789137,Ссылка на работу в вКонтакте
БУЛДАКОВ ОЛЕГ,"Сказка - ложь, да в ней намёк",рассказ,2015,0:01:39,ОЛЕГ БУЛДАКОВ - Трамвайный лев,50316084,Ссылка на работу в вКонтакте
СЕМИРОЛЬ АННА,Сказка для Димки,рассказ,2009,0:02:34,Сказки для больших и маленьких,47392034,Ссылка на работу в вКонтакте
МАЛЫШЕВА СВЕТЛАНА,Сказка на ночь,рассказ,2009,0:07:57,Сказки для больших и маленьких,47392034,Ссылка на работу в вКонтакте
СНЕГОВА СВЕТЛАНА,Сказка о дружбе,рассказ,2009,0:04:24,Сказки для больших и маленьких,47392034,Ссылка на работу в вКонтакте
БРИКЕР МАРИЯ,Сказка о маленькой сиротке,рассказ,2009,0:10:15,Сказки для больших и маленьких,47392034,Ссылка на работу в вКонтакте
ФРЕЙЯ ТАУ,Сказка о чужаке,рассказ,2009,0:07:20,Сказки для больших и маленьких,47392034,Ссылка на работу в вКонтакте
СЕМИРОЛЬ АННА И ОЛЕГ,Сказка о шести хвостишках,рассказ,2009,0:11:46,Тёмные аллеи Новое и неизданное,49672840,Ссылка на работу в вКонтакте
МАЛЫШЕВА СВЕТЛАНА,Сказки про Хвостю,рассказ,2009,0:26:21,Сказки для больших и маленьких,47392034,Ссылка на работу в вКонтакте
СТАРДЖОН ТЕОДОР,Скальпель Оккама,рассказ,2010,0:55:46,Тёмные аллеи №14,47402953,Ссылка на работу в вКонтакте
ГЕЙМАН НИЛ,Скандинавские боги,роман,2018,6:56:21,,49866616,Ссылка на работу в вКонтакте
КОННОЛЛИ ДЖОН,Скачет раковый ковбой,рассказ,2018,2:32:26,Ночные легенды,54438257,Ссылка на работу в вКонтакте
СУЭНВИК МАЙКЛ,Скерцо с тиранозавром,рассказ,2015,0:31:23,Созвездие Льва,50095810,Ссылка на работу в вКонтакте
ЛАВКРАФТ ГОВАРД Ф.,Скиталец тьмы,рассказ,2016,1:23:06,Тёмные аллеи 2.2 Ктулху и аколиты,51789137,Ссылка на работу в вКонтакте
ЛЕНГАР ВАЛЕРИЙ,Склочные точки,рассказ,2009,0:04:26,Сказки для больших и маленьких,47392034,Ссылка на работу в вКонтакте
АКИМОВ МАКСИМ,Славка,рассказ,2009,0:15:38,Новогодние чудеса на аллеях,47392014,Ссылка на работу в вКонтакте
ПЕРОВ ЕВГЕНИЙ,Слово Чести,рассказ,2016,0:56:57,Евгений Перов - Рассказы,49218847,Ссылка на работу в вКонтакте
КРИСТИ АГАТА,Случай совестливой девушки,рассказ,2018,0:25:41,ГЛУБИНА погружение 07,50279330,Ссылка на работу в вКонтакте
ЛАВКРАФТ ГОВАРД Ф.,Случай Чарльза Декстера Варда,роман,2015,6:21:01,,50762355,Ссылка на работу в вКонтакте
ДИБРОВА ПАВЕЛ,Случайность,рассказ,2017,0:13:23,Павел К. Диброва - Рассказы,49714485,Ссылка на работу в вКонтакте
ГАРРИ ГАРРИСОН,Смертные муки пришельца,рассказ,2019,0:46:21,Созвездие Льва 4,54717929,Ссылка на работу в вКонтакте
ЙОРД АЛЕКСАНДРА,Смерть,рассказ,2008,0:16:00,Тёмные аллеи №06,47402771,Ссылка на работу в вКонтакте
МИСИМА ЮКИО,Смерть в середине лета,рассказ,2018,1:42:31,Смерть в середине лета,50034017,Ссылка на работу в вКонтакте
АВЕРЧЕНКО АРКАДИЙ,Смерть девушки у изгороди,рассказ,2015,0:16:59,Адамово яблоко,47401517,Ссылка на работу в вКонтакте
РЭЙ ЖАН,Смерть людоеда,рассказ,2015,0:40:02,Тёмные аллеи 2.0 Тёмные звёзды,49780142,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Смиренные сёстры Элурии,повесть,2008,3:34:43,,47401772,Ссылка на работу в вКонтакте
БУРЛЕСОН ДОНАЛЬД,Снегопад,рассказ,2016,0:27:29,Пять вечеров 1: В снегах,50793544,Ссылка на работу в вКонтакте
ЛАВКРАФТ ГОВАРД Ф.,Сны в Ведьмином доме,рассказ,2016,2:13:47,Тёмные аллеи 2.2 Ктулху и аколиты,51789137,Ссылка на работу в вКонтакте
ЩЕРБА НАТАЛЬЯ,Собиратель душ,рассказ,2010,0:16:14,Тёмные аллеи №13,47402919,Ссылка на работу в вКонтакте
ПАВЛОВ СЕРГЕЙ,Солнечная Луна,рассказ,2011,0:23:51,Тёмные аллеи №16,47402994,Ссылка на работу в вКонтакте
РЫБНИКОВА МАРИНА,Солнечный зайчик,рассказ,2012,0:45:35,Тёмные аллеи №21,47403076,Ссылка на работу в вКонтакте
ЭЙЗЕНШТЕЙН ФИЛЛИС,Солнечный камень,рассказ,2017,1:19:48,Созвездие Льва 3. Приход ночи (часть 2),49963352,Ссылка на работу в вКонтакте
ЛАВКРАФТ ГОВАРД Ф.,Сон (Преступный священник),рассказ,2017,0:11:41,Тёмные аллеи 2.2 Ктулху и аколиты,51789137,Ссылка на работу в вКонтакте
БАРКЕР КЛАЙВ,Сотканный мир,роман,2019,,,54752153,Ссылка на работу в вКонтакте
БУЛДАКОВ ОЛЕГ,Союз зверей,рассказ,2015,0:01:59,ОЛЕГ БУЛДАКОВ - Трамвайный лев,50316084,Ссылка на работу в вКонтакте
РЕЙНОЛЬДС АЛАСТЕР,Спячка,рассказ,2016,1:57:27,Созвездие Льва 2. Всадники апокалипсиса,51326204,Ссылка на работу в вКонтакте
КАВАБАТА ЯСУНАРИ,Спящие красавицы,роман,2019,3:06:49,,54753508,Ссылка на работу в вКонтакте
ДАШУК АЛЁНА,Срамной колодец,рассказ,2010,0:41:17,Тёмные аллеи №15,47402963,Ссылка на работу в вКонтакте
ТЕНН УИЛЬЯМ,Срок авансом,рассказ,2019,1:15:39,Созвездие Льва 4,54717929,Ссылка на работу в вКонтакте
СИТНИКОВ ИВАН,Стальное сердце героя,рассказ,2008,0:10:50,Тёмные аллеи №05,47402761,Ссылка на работу в вКонтакте
ПУСТОШИЛО ДМИТРИЙ,Старик,рассказ,2017,0:08:48,,54705931,Ссылка на работу в вКонтакте
МАЛИЦКИЙ СЕРГЕЙ,Старьёвщик,рассказ,2008,0:09:54,Тёмные аллеи №01,47402705,Ссылка на работу в вКонтакте
ЖУКОВА ВИКТОРИЯ,Статуя,рассказ,2009,0:04:37,Сказки для больших и маленьких,47392034,Ссылка на работу в вКонтакте
ПРИВЕЗЕНЦЕВА ЕВГЕНИЯ,Стеклодув,рассказ,2010,0:27:39,Южная пристань,47391962,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Стеклянный пол,рассказ,2013,0:20:07,Кинг Стивен - Сборник рассказов,47401746,Ссылка на работу в вКонтакте
СИММОНС ДЭН,Стикс течёт вспять,рассказ,2015,0:31:23,Созвездие Льва,50095810,Ссылка на работу в вКонтакте
ГРЕГ ГРИГОРИЙ,Стихи,стихи,2014,0:03:26,,48835069,Ссылка на работу в вКонтакте
ДАНИЛЬЧЕНКО ДМИТРИЙ,Стихи,стихи,2015,1:30:02,Дмитрий Данильченко - Стихи,50518408,Ссылка на работу в вКонтакте
САНДЕРСОН БРЕНДОН,Стоп-кадр,повесть,2018,2:48:15,,49982993,Ссылка на работу в вКонтакте
ХИЛЛ ДЖО,Страна рождества,роман,2019,,,54705930,Ссылка на работу в вКонтакте
ДОЛГОВА ЕЛЕНА,Странное везение Лу,рассказ,2008,0:28:12,Тёмные аллеи №04,47402754,Ссылка на работу в вКонтакте
ПЕКЕРСКИЙ АЛЕКСАНДР,Стратагема ВВП,рассказ,2013,0:18:58,На задворках галактики,47458093,Ссылка на работу в вКонтакте
ДИБРОВА ПАВЕЛ,Страх,рассказ,2017,0:03:01,Сборник рассказов Лец-тас-ки,47401448,Ссылка на работу в вКонтакте
БЕСТУЖЕВ-МАРЛИНСКИЙ АЛЕКСАНДР,Страшное гаданье,рассказ,2016,1:22:55,Пять вечеров 1: В снегах,50793544,Ссылка на работу в вКонтакте
ХОТАЛА РИК,Стук,рассказ,2008,0:28:52,Тёмные аллеи №01,47402705,Ссылка на работу в вКонтакте
ШАМАНОВ СЕРГЕЙ,Стучащий,рассказ,2012,0:46:01,Тёмные аллеи №20,47403059,Ссылка на работу в вКонтакте
ПАВЛОВ АЛЕКСАНДР,Существовать не значит жить,сериал,2017,0:21:05,Александр Павлов - Рассказы,47403531,Ссылка на работу в вКонтакте
СУ ЁН КИМ,Счастливого Нового года,рассказ,2018,0:37:10,ГЛУБИНА погружение новогоднее,53016371,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Счастливый брак,повесть,2015,3:25:48,,49277490,Ссылка на работу в вКонтакте
АКУТАГАВА РЮНОСКЭ,Счастье,рассказ,2018,0:20:45,Смерть в середине лета,50034017,Ссылка на работу в вКонтакте
ДИБРОВА ПАВЕЛ,Счастье,рассказ,2017,0:15:52,Сборник рассказов Лец-тас-ки,47401448,Ссылка на работу в вКонтакте
СИТНИКОВ ИВАН,Сыграем свадебку?,рассказ,2009,0:20:35,Тёмные аллеи №10,47402860,Ссылка на работу в вКонтакте
БАРКЕР КЛАЙВ,Сын целлулоида,рассказ,2015,1:40:13,Тёмные аллеи 2.0 Тёмные звёзды,49780142,Ссылка на работу в вКонтакте
БЕНФОРД ГРЕГОРИ,Тайное знание,рассказ,2017,0:36:25,Созвездие Льва 3. Приход ночи (часть 2),49963352,Ссылка на работу в вКонтакте
ИМАКАЕВ ВЛАДИМИР,Тайны прошлого,роман,2011,16:50:06,,47391858,Ссылка на работу в вКонтакте
ЕГОРОВА НАТАЛЬЯ,Талисманчик,рассказ,2008,0:33:49,Тёмные аллеи №04,47402754,Ссылка на работу в вКонтакте
КЭМПБЕЛЛ РЭМСИ,Там,рассказ,2015,0:37:10,Тёмные аллеи 2.1 Жестокость,50297043,Ссылка на работу в вКонтакте
СЕДЛОВА ВАЛЕНТИНА,"Там, где несёт свои воды Висла",рассказ,2009,0:19:20,Тёмные аллеи №10,47402860,Ссылка на работу в вКонтакте
БУЦЦАТИ ДИНО,Татарская пустыня,роман,2016,7:22:23,,51645166,Ссылка на работу в вКонтакте
